3DMLSI,,LCR2D,
X,Y,X,Y
1.4148841223025403,2.9370932754880696,1.4724535573064124,2.8806941431670285
1.9240248955297972,2.594360086767896,1.9808850561804388,2.5509761388286334
2.4797413512858544,2.3969631236442517,2.478913864540419,2.4121475054229937
2.972805239173222,2.349240780911063,2.9743420002718874,2.3210412147505424
3.520837889435949,2.292841648590022,3.5221382257502043,2.2689804772234274
3.958933014947956,2.2537960954446854,3.960233351262211,2.2299349240780915
4.997192455685129,2.2017353579175705,4.9437604544084355,2.1822125813449027
,,10.01684526588922,2.0911062906724514
,,19.992316194506664,2.0412147505422995
