3DMLSI,,KetchenIEEE,
X,Y,X,Y
0.09701602234308382,2.1555533778670632,0.08878435984124633,1.999298784305399
0.11735563286349704,2.0707432995247195,0.12046972740784301,1.7515486087292644
0.24740718963855812,1.7404587300809555,0.239981271878964,1.5016153004393487
0.5030024880091029,1.5419406471001356,0.49511925566607307,1.3499719622606587
0.7478400052264522,1.4460951323217972,0.7492555027466095,1.301006636505681
0.9923073154000683,1.388195839526135,0.9934614903011199,1.2698929121683789
1.4902575661064559,1.3482951421213953,1.5009064628350235,1.2567832274432305
1.9978331999499128,1.3217926731670668,1.9985082833826031,1.2525966213163038
2.495696343116599,1.2908204985817804,2.496088327045258,1.2506421458942405
3.491052422406236,1.2668223713938842,3.5009609050473376,1.251202900681072
