x0,y0,z0,fc,pl_shield2,fc_shield,pl,pl_shield,fc_center,bounding_box,pl_hull
-1.0,-2.5,-0.2,0.02827026897115201,0.10431168184860042,0.005499508295261158,0.031028271859807992,0.10387136580426648,0.008057503237570325,0.42414400359040205,0.05464085143857031
-1.0,-1.5,-0.2,0.06573720507834235,0.07322597423296318,0.006908632619796756,0.027614007109721363,0.05526421305725763,0.018685198654909436,0.4971846894083297,0.058823676061325283
-1.0,-0.5,-0.2,0.15159279269180623,0.025566149228628373,0.006459922361528481,0.021510552497880874,0.020616061186887934,0.04283427953170245,0.5052035854400031,0.04665297426557898
-1.0,0.5,-0.2,0.14779163967999398,0.00923632508732222,0.004523927176618121,0.010993030499719702,0.0057861280639834,0.0409746949443638,0.4330070517236622,0.022144490111219755
-1.0,1.5,-0.2,0.05724694090977253,0.004086156652651222,0.002590150592896424,0.003342128328254115,0.001777621556108421,0.015794870351514518,0.13515456461172703,0.006862325094627536
0.0,-2.5,-0.2,0.05051825283762996,0.1706549840726022,0.018823797768235787,0.06694173551383373,0.18695089791342412,0.013607097916276418,0.5205572730653446,0.16336568330942008
0.0,-1.5,-0.2,0.1314651549149799,0.12001075588435256,0.02948289145741834,0.07246360294894566,0.18419049200224366,0.038925344851735905,0.6105339103679418,0.17765545242629868
0.0,-0.5,-0.2,0.3172023415013922,0.03572609525622901,0.027443920467696937,0.072641098258357,0.12152155443319883,0.12370780170363851,0.6629532390361499,0.1724013962430027
0.0,0.5,-0.2,0.3004206411264579,0.0111009731864703,0.013891866809451122,0.03084331178533386,0.012002083641641317,0.11059139802592559,0.5884259973642393,0.059003208464938325
0.0,1.5,-0.2,0.09325697547216391,0.004537725392943793,0.005170878924854961,0.004625098046736222,0.0022198606550046106,0.026132342972730007,0.18385994473995323,0.009348741889149362
1.0,-2.5,-0.2,0.06849434753184046,0.104110411996023,0.06746831449002415,0.03183369104273198,0.09828436400300732,0.014289388303459136,0.5603177211573843,0.053999296562225366
1.0,-1.5,-0.2,0.19352342659812105,0.07490501845060131,0.10643319862595167,0.025529079024592484,0.048320892846792945,0.049276766961635576,0.5993032138513201,0.053443436113314195
1.0,-0.5,-0.2,0.33315157624039976,0.027294376039261943,0.11902307445394164,0.019028796973416067,0.022734125071331296,0.1310482803453285,0.5927321798181027,0.04208155645011267
1.0,0.5,-0.2,0.2427367396860773,0.009574436402843464,0.050937135892902136,0.009797445625482185,0.006009730247940052,0.07779813065236207,0.5696417764595195,0.020480550392436188
1.0,1.5,-0.2,0.07617555006111182,0.0041355340994009395,0.00882375157824681,0.003185466281304061,0.0018214255031842414,0.021937188407619105,0.1811351561848065,0.006637758308503184
